interNUM;A1_2;A17;A17o;A17oREC;A17REC;A18;A25_1;A25_2;A29;A29o;A29oREC;A29REC;A30;A31_1;A31_2;A31_3;A31_4;A31_5;A31_6;A31_7;A31_8;A31_9;A31_10;A33;interID;interID
5807392;Oui, 2 à 4 fois;"Transports en commun Tisséo (Bus, métro, navette stade …);Voiture";;;"Transports en commun Tisséo (Bus, métro, navette stade …);Voiture";Métro Ligne B ;Plutôt satisfait(e);Plutôt satisfait(e);;;;;;;;;;;;;;;;Non;{71CBE11E-31E2-494F-9484-24582B951D5D};{71CBE11E-31E2-494F-9484-24582B951D5D}
5815478;Oui, 1 seule fois;Transports en commun Tisséo (Bus, métro, navette stade …);;;Transports en commun Tisséo (Bus, métro, navette stade …);"Bus autre que ligne Linéo;Tramway ";;Tout à fait satisfait(e) ;;;;;;;;;;;;;;;;Oui;{0F5D5CC4-83FB-4A0E-AECD-1EA553675ED8};{0F5D5CC4-83FB-4A0E-AECD-1EA553675ED8}
5817805;Oui, 1 seule fois;Autre mode, précisez;Moto;Autre mode, précisez;Autre mode, précisez;;;;;;;;;;;;;;;;;;;Non;{EEAD95EC-4BB5-44DD-AE5E-B4BBEECAB3D7};{EEAD95EC-4BB5-44DD-AE5E-B4BBEECAB3D7}
5818107;Oui, 1 seule fois;Transports en commun Tisséo (Bus, métro, navette stade …);;;Transports en commun Tisséo (Bus, métro, navette stade …);Bus autre que ligne Linéo;;Plutôt satisfait(e);;;;;;;;;;;;;;;;Non;{48982A8C-EDD0-4036-921A-4B81FAE7A06B};{48982A8C-EDD0-4036-921A-4B81FAE7A06B}
5822783;Oui, 2 à 4 fois;Transports en commun Tisséo (Bus, métro, navette stade …);;;Transports en commun Tisséo (Bus, métro, navette stade …);Métro Ligne A ;;Tout à fait satisfait(e) ;;;;;;;;;;;;;;;;Non;{A9D1F7DB-A39E-47CA-81F8-0866D93BC803};{A9D1F7DB-A39E-47CA-81F8-0866D93BC803}
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
